Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,BranchLength,IrrelevantFeature,Species
1,7.0,3.2,4.7,1.4,16.9,37.5,Iris-versicolor
2,6.4,3.2,4.5,1.5,16.4,95.1,Iris-versicolor
3,6.9,3.1,4.9,1.5,16.9,73.2,Iris-versicolor
4,5.5,2.3,0.7,1.3,15.6,59.9,Iris-versicolor
5,6.5,2.8,4.6,1.5,16.4,15.6,Iris-versicolor
6,5.7,1.8,9.1,4.1,15.8,15.6,Iris-versicolor
7,6.3,3.3,4.7,0.0,16.3,5.8,Iris-versicolor
8,3.1,2.4,3.3,1.0,13.0,86.6,Iris-versicolor
9,6.6,2.9,9.1,1.3,16.5,60.1,Iris-versicolor
10,5.2,2.7,3.9,1.4,15.1,70.8,Iris-versicolor
11,5.0,2.0,3.5,1.0,14.9,2.1,Iris-versicolor
12,5.9,3.0,4.2,1.5,16.0,97.0,Iris-versicolor
13,9.4,2.2,0.7,,19.5,83.2,Iris-versicolor
14,6.1,2.9,4.7,1.4,16.0,21.2,Iris-versicolor
15,5.6,2.9,3.6,1.3,15.5,18.2,Iris-versicolor
16,6.7,3.1,4.4,1.4,16.9,18.3,Iris-versicolor
17,5.6,3.0,4.5,1.5,15.7,30.4,Iris-versicolor
18,,2.7,4.1,1.0,,52.5,Iris-versicolor
19,6.2,2.2,,1.5,16.2,43.2,Iris-versicolor
20,5.6,2.5,3.9,1.1,15.6,29.1,Iris-versicolor
21,5.9,3.2,4.8,1.8,15.9,61.2,Iris-versicolor
22,,2.8,4.0,1.3,,13.9,Iris-versicolor
23,6.3,2.5,4.9,1.5,16.3,29.2,Iris-versicolor
24,6.1,2.8,4.7,1.2,16.1,36.6,Iris-versicolor
25,6.4,2.9,4.3,1.3,16.5,45.6,Iris-versicolor
26,6.6,3.0,4.4,1.4,16.7,78.5,Iris-versicolor
27,6.8,2.8,4.8,1.4,16.7,20.0,Iris-versicolor
28,6.7,3.0,5.0,1.7,16.7,51.4,Iris-versicolor
29,9.4,2.9,4.5,1.5,19.6,59.2,Iris-versicolor
